SAP_Table,BQ_Table,SAP_Field,Key_Field,SAP_Type,Length,Type_Kind,Ext_Element,Temp_Field,Values,Ext_Field_Name,Field_Description
acdoca,universal_journal_item,PREC_BUKRS,,CHAR,4,C,STRING,precje_cocode,,precje_cocode,Preceding Journal Entry Company Code
acdoca,universal_journal_item,PREC_GJAHR,,NUMC,4,N,STRING,precje_year,,precje_year,Preceding Journal Entry Fiscal Year
acdoca,universal_journal_item,PREC_BELNR,,CHAR,10,C,STRING,precje_docno,,precje_docno,Preceding Journal Entry Document Number
acdoca,universal_journal_item,PREC_DOCLN,,CHAR,6,C,STRING,precje_lineitem,,precje_lineitem,Preceding Journal Entry Line Item
acdoca,universal_journal_item,XSECONDARY,,CHAR,1,C,STRING,secondary_entry,,secondary_entry,Secondary journal entry
acdoca,universal_journal_item,CLOSING_RUN_ID,,RAW,16,X,STRING,closing_run_uuid,,closing_run_uuid,Financial Closing Run ID
acdoca,universal_journal_item,SRC_AWTYP,,CHAR,5,C,STRING,scereftransact,,scereftransact,Source Document Reference Transaction
acdoca,universal_journal_item,SRC_AWSYS,,CHAR,10,C,STRING,srcreflogsys,,srcreflogsys,Logical System of Source Reference Document
acdoca,universal_journal_item,SRC_AWORG,,CHAR,10,C,STRING,srcreforgunit,,srcreforgunit,Source Document Reference Organizational Units
acdoca,universal_journal_item,SRC_AWREF,,CHAR,10,C,STRING,srcrefdocument,,srcrefdocument,Source Document Reference Document Number
acdoca,universal_journal_item,SRC_AWITEM,,NUMC,6,N,STRING,src_ref_doc_item,,src_ref_doc_item,Source Reference Document Line Item
acdoca,universal_journal_item,SRC_AWSUBIT,,NUMC,6,N,STRING,srcrefdoc_sub_item,,srcrefdoc_sub_item,Source Reference Document Sub-Item
acdoca,universal_journal_item,XCOMMITMENT,,CHAR,1,C,STRING,commitment,,commitment,Indicator: Commitment
acdoca,universal_journal_item,OBS_REASON,,CHAR,1,C,STRING,obsoleteness_reason,,obsoleteness_reason,Reason why this item is obsolete
acdoca,universal_journal_item,RTCUR,,CUKY,5,C,STRING,bal_transac_crcy,,bal_transac_crcy,Balance Transaction Currency
acdoca,universal_journal_item,RWCUR,,CUKY,5,C,STRING,transaction_currency,,transaction_currency,Transaction Currency
acdoca,universal_journal_item,RHCUR,,CUKY,5,C,STRING,companycode_currency,,companycode_currency,Company Code Currency
acdoca,universal_journal_item,RKCUR,,CUKY,5,C,STRING,global_currency,,global_currency,Global Currency
acdoca,universal_journal_item,ROCUR,,CUKY,5,C,STRING,free_defined_crcy_1,,free_defined_crcy_1,Freely Defined Currency 1
acdoca,universal_journal_item,RVCUR,,CUKY,5,C,STRING,free_defined_crcy_2,,free_defined_crcy_2,Freely Defined Currency 2
acdoca,universal_journal_item,RBCUR,,CUKY,5,C,STRING,free_defined_crcy_3,,free_defined_crcy_3,Freely Defined Currency 3
acdoca,universal_journal_item,RCCUR,,CUKY,5,C,STRING,free_defined_crcy_4,,free_defined_crcy_4,Freely Defined Currency 4
acdoca,universal_journal_item,RDCUR,,CUKY,5,C,STRING,free_defined_crcy_5,,free_defined_crcy_5,Freely Defined Currency 5
acdoca,universal_journal_item,RECUR,,CUKY,5,C,STRING,free_defined_crcy_6,,free_defined_crcy_6,Freely Defined Currency 6
acdoca,universal_journal_item,RFCUR,,CUKY,5,C,STRING,free_defined_crcy_7,,free_defined_crcy_7,Freely Defined Currency 7
acdoca,universal_journal_item,RGCUR,,CUKY,5,C,STRING,free_defined_crcy_8,,free_defined_crcy_8,Freely Defined Currency 8
acdoca,universal_journal_item,RCO_OCUR,,CUKY,5,C,STRING,co_object_currency,,co_object_currency,CO Object Currency
acdoca,universal_journal_item,RUNIT,,UNIT,3,C,STRING,base_unit,,base_unit,Base Unit of Measure
acdoca,universal_journal_item,RVUNIT,,UNIT,3,C,STRING,valuation_uom,,valuation_uom,Unit of Measure for Valuation Quantity
acdoca,universal_journal_item,RRUNIT,,UNIT,3,C,STRING,reference_uom,,reference_uom,Unit of Measure for Reference Quantity
acdoca,universal_journal_item,RIUNIT,,UNIT,3,C,STRING,inventory_uom,,inventory_uom,Unit of Measure for Inventory Quantity
acdoca,universal_journal_item,QUNIT1,,UNIT,3,C,STRING,add_unit_meas_1,,add_unit_meas_1,Additional Unit of Measure 1
acdoca,universal_journal_item,QUNIT2,,UNIT,3,C,STRING,add_unit_meas_2,,add_unit_meas_2,Additional Unit of Measure 2
acdoca,universal_journal_item,QUNIT3,,UNIT,3,C,STRING,add_unit_meas_3,,add_unit_meas_3,Additional Unit of Measure 3
acdoca,universal_journal_item,CO_MEINH,,UNIT,3,C,STRING,uom_covalqty,,uom_covalqty,Unit of Measure for CO Valuation Quantity
acdoca,universal_journal_item,RACCT,,CHAR,10,C,STRING,account_number,,account_number,Account Number
acdoca,universal_journal_item,RCNTR,,CHAR,10,C,STRING,cost_center,,cost_center,Cost Center
acdoca,universal_journal_item,PRCTR,,CHAR,10,C,STRING,profit_center,@GO@,profit_center,Profit Center
acdoca,universal_journal_item,RFAREA,,CHAR,16,C,STRING,functional_area,,functional_area,Functional Area
acdoca,universal_journal_item,RBUSA,,CHAR,4,C,STRING,business_area,,business_area,Business Area
acdoca,universal_journal_item,KOKRS,,CHAR,4,C,STRING,co_area,@GO@,co_area,Controlling Area
acdoca,universal_journal_item,SEGMENT,,CHAR,10,C,STRING,segment,@GO@,segment,Segment for Segmental Reporting
acdoca,universal_journal_item,SCNTR,,CHAR,10,C,STRING,sender_cost_ctr,,sender_cost_ctr,Sender cost center
acdoca,universal_journal_item,PPRCTR,,CHAR,10,C,STRING,partner_pc,@GO@,partner_pc,Partner Profit Center
acdoca,universal_journal_item,SFAREA,,CHAR,16,C,STRING,partner_farea,,partner_farea,Partner Functional Area
acdoca,universal_journal_item,SBUSA,,CHAR,4,C,STRING,trdg_part_ba,,trdg_part_ba,Trading partners business area
acdoca,universal_journal_item,RASSC,,CHAR,6,C,STRING,trading_partner,,trading_partner,Company ID of Trading Partner
acdoca,universal_journal_item,PSEGMENT,,CHAR,10,C,STRING,partner_segment,@GO@,partner_segment,Partner Segment for Segmental Reporting
acdoca,universal_journal_item,TSL,,CURR,23,P,BAPICUREXT,amnt_in_bal_tr_crcy,,amnt_in_bal_tr_crcy,Amount in Balance Transaction Currency
acdoca,universal_journal_item,WSL,,CURR,23,P,BAPICUREXT,amnt_in_trans_crcy,,amnt_in_trans_crcy,Amount in Transaction Currency
acdoca,universal_journal_item,WSL2,,CURR,23,P,BAPICUREXT,gv_amnt_in_transcrcy,,gv_amnt_in_transcrcy,Group Valuation Amount in Transaction Currency
acdoca,universal_journal_item,WSL3,,CURR,23,P,BAPICUREXT,pcv_amnt_in_trnscrcy,,pcv_amnt_in_trnscrcy,Profit-Center Valuation Amount in Transaction Currency
acdoca,universal_journal_item,HSL,,CURR,23,P,BAPICUREXT,amnt_in_compcd_crcy,,amnt_in_compcd_crcy,Amount in Company Code Currency
acdoca,universal_journal_item,KSL,,CURR,23,P,BAPICUREXT,amnt_in_gl_crcy,,amnt_in_gl_crcy,Amount in Global Currency
acdoca,universal_journal_item,OSL,,CURR,23,P,BAPICUREXT,amount_in_currency_1,,amount_in_currency_1,Amount in Freely Defined Currency 1
acdoca,universal_journal_item,VSL,,CURR,23,P,BAPICUREXT,amount_in_currency_2,,amount_in_currency_2,Amount in Freely Defined Currency 2
acdoca,universal_journal_item,BSL,,CURR,23,P,BAPICUREXT,amount_in_currency_3,,amount_in_currency_3,Amount in Freely Defined Currency 3
acdoca,universal_journal_item,CSL,,CURR,23,P,BAPICUREXT,amount_in_currency_4,,amount_in_currency_4,Amount in Freely Defined Currency 4
acdoca,universal_journal_item,DSL,,CURR,23,P,BAPICUREXT,amount_in_currency_5,,amount_in_currency_5,Amount in Freely Defined Currency 5
acdoca,universal_journal_item,ESL,,CURR,23,P,BAPICUREXT,amount_in_currency_6,,amount_in_currency_6,Amount in Freely Defined Currency 6
acdoca,universal_journal_item,FSL,,CURR,23,P,BAPICUREXT,amount_in_currency_7,,amount_in_currency_7,Amount in Freely Defined Currency 7
acdoca,universal_journal_item,GSL,,CURR,23,P,BAPICUREXT,amount_in_currency_8,,amount_in_currency_8,Amount in Freely Defined Currency 8
acdoca,universal_journal_item,KFSL,,CURR,23,P,BAPICUREXT,fixed_amnt_in_gc,,fixed_amnt_in_gc,Fixed Amount in Global Currency
acdoca,universal_journal_item,KFSL2,,CURR,23,P,BAPICUREXT,gv_fixd_amt_glb_crcy,,gv_fixd_amt_glb_crcy,Group Valuation Fixed Amount in Global Currency
acdoca,universal_journal_item,KFSL3,,CURR,23,P,BAPICUREXT,pcv_fixdamt_glb_crcy,,pcv_fixdamt_glb_crcy,PrCtr Valuation Fixed Amount in Global Currency
acdoca,universal_journal_item,PSL,,CURR,23,P,BAPICUREXT,price_variance,,price_variance,Total Price Variance in Global Currency
acdoca,universal_journal_item,PSL2,,CURR,23,P,BAPICUREXT,gval_tprice_varc_gc,,gval_tprice_varc_gc,Group Valuation Total Price Variance in Global Currency
acdoca,universal_journal_item,PSL3,,CURR,23,P,BAPICUREXT,pcval_tprice_varc_gc,,pcval_tprice_varc_gc,PrCtr Valuation Total Price Variance in Global Currency
acdoca,universal_journal_item,PFSL,,CURR,23,P,BAPICUREXT,price_var_fxd,,price_var_fxd,Fixed Price Variance in Global Currency
acdoca,universal_journal_item,PFSL2,,CURR,23,P,BAPICUREXT,gval_fprice_varc_gc,,gval_fprice_varc_gc,Group Valuation Fixed Price Variance in Global Currency
acdoca,universal_journal_item,PFSL3,,CURR,23,P,BAPICUREXT,pcval_fprice_varc_gc,,pcval_fprice_varc_gc,PrCtr Valuation Fixed Price Variance in Global Currency
acdoca,universal_journal_item,CO_OSL,,CURR,23,P,BAPICUREXT,amount_in_obj_crcy,,amount_in_obj_crcy,Amount in CO Object Currency
acdoca,universal_journal_item,HSLALT,,CURR,23,P,BAPICUREXT,altvalue_lc,,altvalue_lc,Alternative Value in Local Currency
acdoca,universal_journal_item,KSLALT,,CURR,23,P,BAPICUREXT,altvalue_gc,,altvalue_gc,Alternative Value in Group Currency
acdoca,universal_journal_item,OSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_1,,altvalue_in_crcy_1,Alternative Value in Freely Defined Currency 1
acdoca,universal_journal_item,VSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_2,,altvalue_in_crcy_2,Alternative Value in Freely Defined Currency 2
acdoca,universal_journal_item,BSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_3,,altvalue_in_crcy_3,Alternative Value in Freely Defined Currency 3
acdoca,universal_journal_item,CSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_4,,altvalue_in_crcy_4,Alternative Value in Freely Defined Currency 4
acdoca,universal_journal_item,DSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_5,,altvalue_in_crcy_5,Alternative Value in Freely Defined Currency 5
acdoca,universal_journal_item,ESLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_6,,altvalue_in_crcy_6,Alternative Value in Freely Defined Currency 6
acdoca,universal_journal_item,FSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_7,,altvalue_in_crcy_7,Alternative Value in Freely Defined Currency 7
acdoca,universal_journal_item,GSLALT,,CURR,23,P,BAPICUREXT,altvalue_in_crcy_8,,altvalue_in_crcy_8,Alternative Value in Freely Defined Currency 8
acdoca,universal_journal_item,HSLEXT,,CURR,23,P,BAPICUREXT,extvalue_lc,,extvalue_lc,External Value in Local Currency
acdoca,universal_journal_item,KSLEXT,,CURR,23,P,BAPICUREXT,extvalue_gc,,extvalue_gc,External Value in Group Currency
acdoca,universal_journal_item,OSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_1,,extvalue_in_crcy_1,External Value in Freely Defined Currency 1
acdoca,universal_journal_item,VSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_2,,extvalue_in_crcy_2,External Value in Freely Defined Currency 2
acdoca,universal_journal_item,BSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_3,,extvalue_in_crcy_3,External Value in Freely Defined Currency 3
acdoca,universal_journal_item,CSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_4,,extvalue_in_crcy_4,External Value in Freely Defined Currency 4
acdoca,universal_journal_item,DSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_5,,extvalue_in_crcy_5,External Value in Freely Defined Currency 5
acdoca,universal_journal_item,ESLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_6,,extvalue_in_crcy_6,External Value in Freely Defined Currency 6
acdoca,universal_journal_item,FSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_7,,extvalue_in_crcy_7,External Value in Freely Defined Currency 7
acdoca,universal_journal_item,GSLEXT,,CURR,23,P,BAPICUREXT,extvalue_in_crcy_8,,extvalue_in_crcy_8,External Value in Freely Defined Currency 8
acdoca,universal_journal_item,HVKWRT,,CURR,23,P,BAPICUREXT,value_sp_lcrcy,,value_sp_lcrcy,Value at Sales Price in Local Currency
acdoca,universal_journal_item,MSL,,QUAN,23,P,BAPICUREXT,quantity,,quantity,Quantity
acdoca,universal_journal_item,MFSL,,QUAN,23,P,BAPICUREXT,fixed_quantity,,fixed_quantity,Fixed quantity
acdoca,universal_journal_item,VMSL,,QUAN,23,P,BAPICUREXT,val_quantity,,val_quantity,Valuation quantity
acdoca,universal_journal_item,VMFSL,,QUAN,23,P,BAPICUREXT,fixed_val_qty,,fixed_val_qty,Fixed valuation quantity
acdoca,universal_journal_item,RMSL,,QUAN,23,P,BAPICUREXT,ref_quantity,,ref_quantity,Reference quantity
acdoca,universal_journal_item,QUANT1,,QUAN,23,P,BAPICUREXT,add_quantity_1,,add_quantity_1,Additional Quantity 1
acdoca,universal_journal_item,QUANT2,,QUAN,23,P,BAPICUREXT,add_quantity_2,,add_quantity_2,Additional Quantity 2
acdoca,universal_journal_item,QUANT3,,QUAN,23,P,BAPICUREXT,add_quantity_3,,add_quantity_3,Additional Quantity 3
acdoca,universal_journal_item,CO_MEGBTR,,QUAN,23,P,BAPICUREXT,covalqty,,covalqty,CO Valuation Quantity
acdoca,universal_journal_item,CO_MEFBTR,,QUAN,23,P,BAPICUREXT,covalqtyfix,,covalqtyfix,CO Valuation Quantity Fix
acdoca,universal_journal_item,HSALK3,,CURR,23,P,BAPICUREXT,invvalue_lcrcy,,invvalue_lcrcy,Inventory Value in Local Currency
acdoca,universal_journal_item,KSALK3,,CURR,23,P,BAPICUREXT,invvalue_gcrcy,,invvalue_gcrcy,Inventory Value in Group Currency
acdoca,universal_journal_item,OSALK3,,CURR,23,P,BAPICUREXT,invvalue_acrcy,,invvalue_acrcy,Inventory Value in Another Currency
acdoca,universal_journal_item,VSALK3,,CURR,23,P,BAPICUREXT,invvalue_4crcy,,invvalue_4crcy,Inventory Value in Fourth Currency
acdoca,universal_journal_item,HSALKV,,CURR,23,P,BAPICUREXT,altinvvalue_lc,,altinvvalue_lc,Alternative Inventory Value in Local Currency
acdoca,universal_journal_item,KSALKV,,CURR,23,P,BAPICUREXT,altinvvalue_gc,,altinvvalue_gc,Alternative Inventory Value in Group Currency
acdoca,universal_journal_item,OSALKV,,CURR,23,P,BAPICUREXT,altinvvalue_ac,,altinvvalue_ac,Alternative Inventory Value in Another Currency
acdoca,universal_journal_item,VSALKV,,CURR,23,P,BAPICUREXT,altinvvalue_4c,,altinvvalue_4c,Alternative Inventory Value in Fourth Currency
acdoca,universal_journal_item,HPVPRS,,CURR,23,P,BAPICUREXT,map_lcrcy,,map_lcrcy,Moving Average Price in Local Currency
acdoca,universal_journal_item,KPVPRS,,CURR,23,P,BAPICUREXT,map_gcrcy,,map_gcrcy,Moving Average Price in Group Currency
acdoca,universal_journal_item,OPVPRS,,CURR,23,P,BAPICUREXT,map_acrcy,,map_acrcy,Moving Average Price in Another Currency
acdoca,universal_journal_item,VPVPRS,,CURR,23,P,BAPICUREXT,map_4crcy,,map_4crcy,Moving Average Price in Fourth Currency
acdoca,universal_journal_item,HSTPRS,,CURR,23,P,BAPICUREXT,stdprice_lcrcy,,stdprice_lcrcy,Standard Price in Local Currency
acdoca,universal_journal_item,KSTPRS,,CURR,23,P,BAPICUREXT,stdprice_gcrcy,,stdprice_gcrcy,Standard Price in Group Currency
acdoca,universal_journal_item,OSTPRS,,CURR,23,P,BAPICUREXT,stdprice_acrcy,,stdprice_acrcy,Standard Price in Another Currency
acdoca,universal_journal_item,VSTPRS,,CURR,23,P,BAPICUREXT,stdprice_4crcy,,stdprice_4crcy,Standard Price in Fourth Currency
acdoca,universal_journal_item,HVKSAL,,CURR,23,P,BAPICUREXT,invval_sp_lcrcy,,invval_sp_lcrcy,Inventory Value at Sales Price in Local Currency
acdoca,universal_journal_item,LBKUM,,QUAN,23,P,BAPICUREXT,inv_quantity,@GO@,inv_quantity,Inventory Quantity
acdoca,universal_journal_item,DRCRK,,CHAR,1,C,STRING,debit_credit,,debit_credit,Debit/Credit Indicator
acdoca,universal_journal_item,POPER,,NUMC,3,N,STRING,posting_period,,posting_period,Posting period
acdoca,universal_journal_item,PERIV,,CHAR,2,C,STRING,fi_year_variant,@GO@,fi_year_variant,Fiscal Year Variant
acdoca,universal_journal_item,FISCYEARPER,,NUMC,7,N,STRING,period_year,,period_year,Period/Year
acdoca,universal_journal_item,BUDAT,,DATS,8,D,DATUM,posting_date,@GO@,posting_date,Posting Date in the Document
acdoca,universal_journal_item,BLDAT,,DATS,8,D,DATUM,document_date,@GO@,document_date,Document Date in Document
acdoca,universal_journal_item,BLART,,CHAR,2,C,STRING,document_type,@GO@,document_type,Document type
acdoca,universal_journal_item,BUZEI,,NUMC,3,N,STRING,line_item_1,@GO@,line_item_1,Number of Line Item Within Accounting Document
acdoca,universal_journal_item,ZUONR,,CHAR,18,C,STRING,assignment_number,@GO@,assignment_number,Assignment number
acdoca,universal_journal_item,BSCHL,,CHAR,2,C,STRING,posting_key,@GO@,posting_key,Posting Key
acdoca,universal_journal_item,BSTAT,,CHAR,1,C,STRING,document_status,@GO@,document_status,Document Status
acdoca,universal_journal_item,LINETYPE,,CHAR,5,C,STRING,item_category,,item_category,Item Category
acdoca,universal_journal_item,KTOSL,,CHAR,3,C,STRING,transaction_key,@GO@,transaction_key,Transaction Key
acdoca,universal_journal_item,SLALITTYPE,,NUMC,5,N,STRING,slalineitemtype,,slalineitemtype,Subledger-Specific Line Item Type
acdoca,universal_journal_item,XSPLITMOD,,CHAR,1,C,STRING,changed,,changed,Item Changed by Document Splitting
acdoca,universal_journal_item,USNAM,,CHAR,12,C,STRING,user_name,@GO@,user_name,User Name
acdoca,universal_journal_item,TIMESTAMP,,DEC,15,P,BAPICUREXT,time_stamp,,time_stamp,UTC Time Stamp in Short Form (YYYYMMDDhhmmss)
acdoca,universal_journal_item,EPRCTR,,CHAR,10,C,STRING,elimination_prctr,,elimination_prctr,Partner profit center for elimination of internal business
acdoca,universal_journal_item,RHOART,,NUMC,2,N,STRING,origin_object,,origin_object,Type of origin object (EC-PCA)
acdoca,universal_journal_item,GLACCOUNT_TYPE,,CHAR,1,C,STRING,g_l_account_type,,g_l_account_type,Type of a General Ledger Account
acdoca,universal_journal_item,KTOPL,,CHAR,4,C,STRING,chart_of_accts,@GO@,chart_of_accts,Chart of Accounts
acdoca,universal_journal_item,LOKKT,,CHAR,10,C,STRING,altern_account,@GO@,altern_account,Alternative Account Number in Company Code
acdoca,universal_journal_item,KTOP2,,CHAR,4,C,STRING,cntry_chrt_acts,@GO@,cntry_chrt_acts,Chart of Accounts According to Country Legislation
acdoca,universal_journal_item,REBZG,,CHAR,10,C,STRING,invoice_ref,@GO@,invoice_ref,Document No. of the Invoice to Which the Transaction Belongs
acdoca,universal_journal_item,REBZJ,,NUMC,4,N,STRING,fiscal_year_1,@GO@,fiscal_year_1,Fiscal Year of the Relevant Invoice (for Credit Memo)
acdoca,universal_journal_item,REBZZ,,NUMC,3,N,STRING,line_item_2,@GO@,line_item_2,Line Item in the Relevant Invoice
acdoca,universal_journal_item,REBZT,,CHAR,1,C,STRING,follow_on_document_type,@GO@,follow_on_document_type,Follow-On Document Type
acdoca,universal_journal_item,RBEST,,NUMC,3,N,STRING,po_category,,po_category,Category of Reference Purchase Order
acdoca,universal_journal_item,EBELN,,CHAR,10,C,STRING,purchasing_doc,@GO@,purchasing_doc,Purchasing Document Number
acdoca,universal_journal_item,EBELP,,NUMC,5,N,STRING,item,@GO@,item,Item Number of Purchasing Document
acdoca,universal_journal_item,ZEKKN,,NUMC,2,N,STRING,account_assgmt_no,@GO@,account_assgmt_no,Sequential Number of Account Assignment
acdoca,universal_journal_item,SGTXT,,CHAR,50,C,STRING,text,@GO@,text,Item Text
acdoca,universal_journal_item,KDAUF,,CHAR,10,C,STRING,sales_order,@GO@,sales_order,Sales Order Number
acdoca,universal_journal_item,KDPOS,,NUMC,6,N,STRING,sales_ord_item,@GO@,sales_ord_item,Item number in Sales Order
acdoca,universal_journal_item,MATNR,,CHAR,40,C,STRING,material,@GO@,material,Material Number
acdoca,universal_journal_item,WERKS,,CHAR,4,C,STRING,plant,@GO@,plant,Plant
acdoca,universal_journal_item,LIFNR,,CHAR,10,C,STRING,vendor,@GO@,vendor,Account Number of Vendor or Creditor
acdoca,universal_journal_item,KUNNR,,CHAR,10,C,STRING,customer,@GO@,customer,Customer Number
acdoca,universal_journal_item,FBUDA,,DATS,8,D,DATUM,serv_rendered,@GO@,serv_rendered,Date on which services are rendered
acdoca,universal_journal_item,COCO_NUM,,CHAR,10,C,STRING,condition_contract,,condition_contract,Condition Contract
acdoca,universal_journal_item,WWERT,,DATS,8,D,DATUM,translation_dte,,translation_dte,Translation date
acdoca,universal_journal_item,KOART,,CHAR,1,C,STRING,account_type,@GO@,account_type,Account type
acdoca,universal_journal_item,UMSKZ,,CHAR,1,C,STRING,special_g_l_ind,@GO@,special_g_l_ind,Special G/L Indicator
acdoca,universal_journal_item,MWSKZ,,CHAR,2,C,STRING,tax_code,@GO@,tax_code,Tax on sales/purchases code
acdoca,universal_journal_item,HBKID,,CHAR,5,C,STRING,house_bank,@GO@,house_bank,Short key for a house bank
acdoca,universal_journal_item,HKTID,,CHAR,5,C,STRING,account_id,@GO@,account_id,ID for account details
acdoca,universal_journal_item,XOPVW,,CHAR,1,C,STRING,oi_management,@GO@,oi_management,Indicator: Open Item Management?
acdoca,universal_journal_item,AUGDT,,DATS,8,D,DATUM,clearing,@GO@,clearing,Clearing Date
acdoca,universal_journal_item,AUGBL,,CHAR,10,C,STRING,clrng_doc,@GO@,clrng_doc,Document Number of the Clearing Document
acdoca,universal_journal_item,AUGGJ,,NUMC,4,N,STRING,clrg_fiscal_yr,@GO@,clrg_fiscal_yr,Fiscal Year of Clearing Document
acdoca,universal_journal_item,AFABE,,NUMC,2,N,STRING,depreciat_area,,depreciat_area,Depreciation Area Real or Derived
acdoca,universal_journal_item,ANLN1,,CHAR,12,C,STRING,asset,@GO@,asset,Main Asset Number
acdoca,universal_journal_item,ANLN2,,CHAR,4,C,STRING,sub_number,@GO@,sub_number,Asset Subnumber
